rawod,lab,standard_conc,dil_level,dilution,neat_mass_mg
0,blank,,,,
0,blank,,,,
0,nsb,,,,
0,nsb,,,,
0.5753,b0,,,,
0.5414,b0,,,,
0.1052,std1,3200,,,
0.0988,std1,3200,,,
0.1553,std2,1600,,,
0.1529,std2,1600,,,
0.2304,std3,800,,,
0.2468,std3,800,,,
0.3595,std4,400,,,
0.3561,std4,400,,,
0.4423,std5,200,,,
0.4567,std5,200,,,
0.4664,std6,100,,,
0.4934,std6,100,,,
0.5202,std7,50,,,
0.5361,std7,50,,,
0.0513,bp04,,1x,1,102.3
0.0537,bp05,,1x,1,105
0.1202,bm03,,1:20,0.05,106.1
0.0914,bm05,,1:20,0.05,110.9
0.1022,bp03,,1:20,0.05,109
0.1506,bp04,,1:20,0.05,102.3
0.054,bp04,,1x,1,102.3
0.0537,bp05,,1x,1,105
0.1254,bm03,,1:20,0.05,106.1
0.0953,bm05,,1:20,0.05,110.9
0.0987,bp03,,1:20,0.05,109
0.1287,bp04,,1:20,0.05,102.3
0.1095,k26,,1x,1,108.7
0.1136,k27,,1x,1,103.4
0.1062,k32,,1x,1,102.9
0.0995,k33,,1x,1,101.1
0.1501,spikesoln,,1x,1,
0.5347,mn1-2,,1:20,0.05,100.9
0.5235,mn1-6,,1:20,0.05,97.87
0.5388,mn1-10,,1:20,0.05,101.8
0.11,k26,,1x,1,
0.1113,k27,,1x,1,
0.1163,k32,,1x,1,
0.052,k33,,1x,1,
0.1637,spikesoln,,1x,1,
0.5392,mn1-2,,1:20,0.05,100.9
0.5391,mn1-6,,1:20,0.05,97.87
0.5686,mn1-10,,1:20,0.05,101.8
0.5758,mn1-14,,1:20,0.05,100.6
0.5642,mn1-14,,1:20,0.05,100.6
0.6073,mn1-18,,1:20,0.05,100.7
0.5921,mn1-18,,1:20,0.05,100.7
0.5834,mn1-22,,1:20,0.05,101.7
0.564,mn1-22,,1:20,0.05,101.7
0.5431,mn1-26,,1:20,0.05,99.9
0.5463,mn1-26,,1:20,0.05,99.9
0.1189,bm02,,1:20,0.05,103.6
0.1298,bm02,,1:20,0.05,103.6
0.0492,bp05,,1:20,0.05,105
0.0456,bp05,,1:20,0.05,105